timestamp,weather,festival_events
2024-01-29 08:00:00,overcast,0
2024-01-29 12:00:00,rainy,0
2024-01-29 16:00:00,rainy,0
2024-01-30 08:00:00,rainy,0
2024-01-30 12:00:00,overcast,0
2024-01-30 16:00:00,overcast,0
2024-01-31 08:00:00,sunny,0
2024-01-31 12:00:00,sunny,1
2024-01-31 16:00:00,sunny,1
2024-02-01 08:00:00,sunny,1
2024-02-01 12:00:00,sunny,0
2024-02-01 16:00:00,overcast,0
2024-02-02 08:00:00,overcast,0
2024-02-02 12:00:00,overcast,0
2024-02-02 16:00:00,sunny,0
2024-02-03 08:00:00,sunny,0
2024-02-03 12:00:00,sunny,0
2024-02-03 16:00:00,sunny,0
2024-02-04 08:00:00,sunny,0
2024-02-04 12:00:00,overcast,0
2024-02-04 16:00:00,rainy,0
